entity,n-authors,n-revs
builtin/providers/aws/resource_aws_app_cookie_stickiness_policy.go,6,9
builtin/providers/vcd/config.go,6,8
builtin/providers/google/compute_operation.go,6,8
backend/remote-state/swift/backend.go,6,8
builtin/providers/aws/resource_aws_api_gateway_rest_api.go,6,8
helper/resource/id.go,6,8
builtin/providers/digitalocean/config.go,6,8
command/counthookaction_string.go,6,8
builtin/providers/github/resource_github_issue_label.go,6,8
builtin/providers/azurerm/resource_arm_dns_zone.go,6,8
builtin/providers/cloudflare/config.go,6,8
builtin/providers/azurerm/resource_arm_resource_group.go,6,8
builtin/providers/aws/resource_aws_autoscaling_group_waiting.go,6,8
builtin/providers/azurerm/resource_arm_virtual_network_peering.go,6,7
examples/aws-two-tier/main.tf,6,7
examples/aws-elb/README.md,6,7
builtin/providers/vcd/provider.go,6,7
builtin/providers/mysql/provider.go,6,7
builtin/providers/aws/data_source_aws_elb_service_account.go,6,7
builtin/providers/aws/resource_aws_api_gateway_method_response.go,6,7
builtin/providers/aws/resource_vpn_connection_route.go,6,7
communicator/winrm/provisioner.go,6,7
builtin/providers/heroku/resource_heroku_cert.go,6,7
builtin/providers/aws/resource_aws_api_gateway_deployment.go,6,7
builtin/providers/packet/resource_packet_device.go,6,7
builtin/providers/google/sqladmin_operation.go,6,6
examples/google-two-tier/main.tf,6,6
builtin/providers/google/resource_pubsub_topic.go,6,6
examples/aws-two-tier/variables.tf,6,6
terraform/node_resource_destroy.go,5,54
backend/local/backend_local.go,5,52
backend/remote/backend.go,5,52
terraform/resource_provider.go,5,51
terraform/evaluate.go,5,51
terraform/eval_read_data.go,5,46
backend/backend.go,5,40
terraform/provider_mock.go,5,39
terraform/eval_output.go,5,34
terraform/schemas.go,5,31
terraform/node_resource_apply_instance.go,5,31
config/interpolate.go,5,30
terraform/transform_import_state.go,5,30
config/module/storage.go,5,29
helper/schema/resource_diff.go,5,28
command/remote.go,5,27
builtin/providers/postgresql/resource_postgresql_database.go,5,27
state/local.go,5,27
dag/graph.go,5,26
builtin/providers/test/provider.go,5,25
builtin/providers/rancher/resource_rancher_stack.go,5,25
terraform/graph_config_node_variable.go,5,24
config/test-fixtures/basic.tf,5,22
lang/funcs/filesystem.go,5,22
builtin/providers/cloudstack/resource_cloudstack_vpc.go,5,21
builtin/providers/test/resource.go,5,20
builtin/providers/cloudstack/resource_cloudstack_network_acl_rule.go,5,20
builtin/providers/openstack/resource_openstack_lb_member_v1.go,5,20
terraform/context_import.go,5,19
terraform/transform_tainted.go,5,19
command/workspace_delete.go,5,19
terraform/semantics.go,5,19
terraform/eval.go,5,18
builtin/providers/postgresql/resource_postgresql_role.go,5,17
builtin/providers/cloudstack/resource_cloudstack_disk.go,5,17
builtin/providers/vault/provider.go,5,16
plugin/discovery/find.go,5,15
lang/funcs/crypto.go,5,15
helper/schema/backend.go,5,15
command/state.go,5,14
builtin/providers/aws/resource_aws_codebuild_project.go,5,14
plugin/resource_provider.go,5,14
backend/remote-state/azure/backend.go,5,14
builtin/providers/openstack/util.go,5,13
terraform/resource_provisioner_mock.go,5,12
builtin/providers/librato/resource_librato_alert.go,5,12
terraform/transform_resource_count.go,5,12
plugin/client.go,5,12
command/flag_kv.go,5,12
terraform/eval_check_prevent_destroy.go,5,12
terraform/eval_provisioner.go,5,11
terraform/transform_attach_state.go,5,11
helper/schema/resource_timeout.go,5,11
builtin/provisioners/chef/linux_provisioner.go,5,11
builtin/providers/pagerduty/structure.go,5,11
terraform/state_v1.go,5,10
internal/tfplugin5/tfplugin5.pb.go,5,10
GNUmakefile,5,10
backend/remote-state/backend.go,5,10
config/string_list.go,5,10
backend/remote-state/consul/backend.go,5,10
builtin/providers/azurerm/resource_arm_managed_disk.go,5,10
backend/local/hook_count.go,5,10
builtin/providers/vcd/structure.go,5,10
builtin/providers/aws/resource_aws_ecs_cluster.go,5,10
backend/remote-state/azure/arm_client.go,5,10
builtin/providers/aws/resource_aws_nat_gateway.go,5,9
builtin/providers/vcd/resource_vcd_dnat.go,5,9
state/remote/azure.go,5,9
builtin/providers/aws/resource_aws_redshift_security_group.go,5,9
builtin/providers/aws/data_source_aws_route_table.go,5,9
builtin/providers/openstack/resource_openstack_objectstorage_container_v1.go,5,9
builtin/providers/azurerm/resourceid.go,5,9
builtin/providers/google/operation.go,5,9
command/env_command.go,5,9
builtin/providers/azurerm/resource_arm_traffic_manager_endpoint.go,5,9
state/remote/swift.go,5,9
builtin/providers/vcd/resource_vcd_snat.go,5,9
builtin/providers/datadog/provider.go,5,9
builtin/providers/aws/tagsELB.go,5,8
builtin/providers/aws/resource_aws_redshift_subnet_group.go,5,8
builtin/providers/aws/data_source_aws_acm_certificate.go,5,8
plugin/discovery/requirements.go,5,8
registry/test/mock_registry.go,5,8
builtin/providers/azurerm/resource_arm_storage_container.go,5,8
builtin/providers/aws/resource_aws_efs_mount_target.go,5,8
builtin/providers/google/resource_compute_global_forwarding_rule.go,5,8
examples/azure-vm-simple-linux-managed-disk/README.md,5,8
registry/errors.go,5,8
config_unix.go,5,8
terraform/version_required.go,5,8
scripts/changelog-links.sh,5,8
builtin/providers/azurerm/resource_arm_traffic_manager_profile.go,5,8
plugin/discovery/error.go,5,8
builtin/providers/openstack/resource_openstack_compute_servergroup_v2.go,5,8
command/workspace_show.go,5,8
builtin/providers/aws/resource_aws_cloudwatch_log_subscription_filter.go,5,8
data_source_state.go,5,8
examples/aws-rds/README.md,5,8
config/append.go,5,8
builtin/providers/alicloud/resource_alicloud_security_group_rule.go,5,7
builtin/providers/alicloud/provider.go,5,7
builtin/providers/aws/resource_aws_api_gateway_method.go,5,7
builtin/providers/google/resource_storage_object_acl.go,5,7
backend/remote-state/gcs/backend_state.go,5,7
builtin/providers/google/resource_compute_https_health_check.go,5,7
builtin/providers/aws/resource_aws_ecr_repository.go,5,7
scripts/website_push.sh,5,7
builtin/providers/aws/diff_suppress_funcs.go,5,7
builtin/providers/google/resource_compute_target_http_proxy.go,5,7
builtin/providers/aws/data_source_aws_s3_bucket_object.go,5,7
builtin/providers/azurerm/resource_arm_eventhub_namespace.go,5,7
builtin/providers/google/resource_compute_target_https_proxy.go,5,7
BUILDING.md,5,7
