entity,coupled,degree,average-revs
builtin/providers/openstack/resource_openstack_networking_floatingip_v2.go,builtin/providers/openstack/resource_openstack_networking_router_interface_v2.go,38,16
builtin/providers/openstack/resource_openstack_networking_floatingip_v2.go,builtin/providers/openstack/resource_openstack_networking_network_v2.go,42,21
builtin/providers/openstack/resource_openstack_networking_network_v2.go,builtin/providers/openstack/resource_openstack_networking_router_interface_v2.go,35,20
builtin/providers/openstack/resource_openstack_networking_network_v2.go,builtin/providers/openstack/resource_openstack_networking_router_v2.go,40,23
builtin/providers/openstack/resource_openstack_networking_network_v2.go,builtin/providers/openstack/resource_openstack_networking_subnet_v2.go,62,29
builtin/providers/openstack/resource_openstack_networking_router_interface_v2.go,builtin/providers/openstack/resource_openstack_networking_router_v2.go,52,17
builtin/providers/openstack/resource_openstack_networking_router_v2.go,builtin/providers/openstack/resource_openstack_networking_subnet_v2.go,33,27
builtin/providers/openstack/resource_openstack_networking_secgroup_rule_v2.go,builtin/providers/openstack/resource_openstack_networking_secgroup_v2.go,55,9
builtin/providers/packet/resource_packet_ip_address.go,builtin/providers/packet/resource_packet_ip_reservation.go,90,6
builtin/providers/pagerduty/resource_pagerduty_escalation_policy.go,builtin/providers/pagerduty/resource_pagerduty_service.go,48,13
builtin/providers/pagerduty/resource_pagerduty_escalation_policy.go,builtin/providers/pagerduty/resource_pagerduty_service_integration.go,50,10
builtin/providers/pagerduty/resource_pagerduty_escalation_policy.go,builtin/providers/pagerduty/resource_pagerduty_user.go,52,10
builtin/providers/pagerduty/resource_pagerduty_escalation_policy.go,builtin/providers/pagerduty/resource_pagerduty_schedule.go,63,10
builtin/providers/pagerduty/resource_pagerduty_escalation_policy.go,builtin/providers/pagerduty/resource_pagerduty_team.go,71,7
builtin/providers/pagerduty/resource_pagerduty_schedule.go,builtin/providers/pagerduty/resource_pagerduty_service.go,46,13
builtin/providers/pagerduty/resource_pagerduty_schedule.go,builtin/providers/pagerduty/resource_pagerduty_service_integration.go,47,11
builtin/providers/pagerduty/resource_pagerduty_schedule.go,builtin/providers/pagerduty/structure.go,50,10
builtin/providers/pagerduty/resource_pagerduty_schedule.go,builtin/providers/pagerduty/resource_pagerduty_user.go,60,10
builtin/providers/pagerduty/resource_pagerduty_schedule.go,builtin/providers/pagerduty/resource_pagerduty_team.go,66,8
builtin/providers/pagerduty/resource_pagerduty_service_integration.go,builtin/providers/pagerduty/resource_pagerduty_user.go,47,11
builtin/providers/pagerduty/resource_pagerduty_service.go,builtin/providers/pagerduty/structure.go,38,13
builtin/providers/pagerduty/resource_pagerduty_service.go,builtin/providers/pagerduty/resource_pagerduty_service_integration.go,44,14
builtin/providers/pagerduty/resource_pagerduty_service.go,builtin/providers/pagerduty/resource_pagerduty_user.go,46,13
builtin/providers/pagerduty/resource_pagerduty_service.go,builtin/providers/pagerduty/resource_pagerduty_team.go,47,11
builtin/providers/pagerduty/resource_pagerduty_team.go,builtin/providers/pagerduty/resource_pagerduty_user.go,66,8
builtin/providers/postgresql/config.go,builtin/providers/postgresql/provider.go,32,25
builtin/providers/postgresql/resource_postgresql_database.go,builtin/providers/postgresql/resource_postgresql_role.go,33,21
builtin/providers/profitbricks/resource_profitbricks_nic.go,builtin/providers/profitbricks/resource_profitbricks_server.go,58,9
builtin/providers/rancher/provider.go,builtin/providers/rancher/util.go,62,8
builtin/providers/rancher/resource_rancher_environment.go,builtin/providers/rancher/resource_rancher_stack.go,43,19
builtin/providers/rancher/resource_rancher_environment.go,builtin/providers/rancher/resource_rancher_registration_token.go,59,14
builtin/providers/rancher/resource_rancher_environment.go,builtin/providers/rancher/util.go,60,10
builtin/providers/rancher/resource_rancher_environment.go,builtin/providers/rancher/resource_rancher_registry_credential.go,64,13
builtin/providers/rancher/resource_rancher_environment.go,builtin/providers/rancher/resource_rancher_registry.go,64,13
builtin/providers/rancher/resource_rancher_registration_token.go,builtin/providers/rancher/util.go,57,11
builtin/providers/rancher/resource_rancher_registration_token.go,builtin/providers/rancher/resource_rancher_stack.go,63,19
builtin/providers/rancher/resource_rancher_registration_token.go,builtin/providers/rancher/resource_rancher_registry.go,92,13
builtin/providers/rancher/resource_rancher_registration_token.go,builtin/providers/rancher/resource_rancher_registry_credential.go,92,13
builtin/providers/rancher/resource_rancher_registry_credential.go,builtin/providers/rancher/util.go,63,10
builtin/providers/rancher/resource_rancher_registry_credential.go,builtin/providers/rancher/resource_rancher_stack.go,66,18
